id;Boiruna_maculata;Bothrops_alternatus;Bothrops_diporus;Chironius_maculoventris;Clelia_clelia;Crotalus_durissus;Erythrolamprus_almadensis;Erythrolamprus_jaegeri;Erythrolamprus_poecilogyrus;Erythrolamprus_sagittifer;Erythrolamprus_semiaureus;Eunectes_notaeus;Helicops_leopardinus;Hydrodynastes_gigas;Imantodes_cenchoa;Leptodeira_annulata;Leptophis_ahaetulla;Lygophis_anomalus;Lygophis_dilepis;Lygophis_flavifrenatus;Lygophis_meridionalis;Palusophis_bifossatus;Micrurus_altirostris;Micrurus_baliocoryphus;Micrurus_frontalis;Micrurus_pyrrhocryptus;Micrurus_silviae;Mussurana_bicolor;Oxyrhopus_guibei;Oxyrhopus_rhombifer;Phalotris_lemniscatus;Phalotris_tricolor;Philodryas_aestiva;Pseudablabes_agassizii;Philodryas_baroni;Philodryas_mattogrossensis;Philodryas_olfersii;Pseudablabes_patagoniensis;Philodryas_psammophidea;Psomophis_obtusus;Dipsas_turgida;Taeniophallus_occipitalis;Dryophylax_chaquensis;Dryophylax_hypoconia;Mesotes_strigatus;Tomodon_ocellatus;Xenodon_dorbignyi;Xenodon_merremii
85;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
86;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
87;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
88;0;0;1;1;0;1;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;1;0;0;1;0;1;1;0;0;1;1
89;1;0;1;0;0;1;1;0;0;0;1;1;0;1;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1
90;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0
91;1;1;1;0;1;1;1;1;1;0;1;1;1;1;0;1;0;0;1;0;0;1;0;0;0;1;0;1;1;1;0;1;0;0;0;0;0;1;0;0;1;0;1;1;0;0;1;0
92;0;1;1;1;1;1;1;0;1;0;1;1;1;1;0;1;1;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;1;0;0;0;1;1;0;0;1;1;1;1;1;0;1;1
93;1;1;1;0;0;1;1;1;1;0;1;1;1;1;0;1;1;0;0;1;1;1;0;1;0;1;0;1;0;1;0;0;1;0;0;0;1;1;0;1;1;0;1;1;0;1;1;1
94;1;1;0;1;0;1;1;1;1;0;1;1;1;1;0;1;1;1;0;1;1;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;1
95;0;1;0;1;0;1;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;1;1
96;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0
97;0;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
100;0;1;0;1;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
102;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
103;1;1;1;1;0;0;1;1;1;0;1;1;1;1;0;1;1;0;1;1;0;1;0;0;0;0;0;1;1;1;0;0;1;0;0;1;1;1;0;1;1;1;1;1;0;0;0;1
104;0;1;1;1;0;1;1;1;1;0;0;1;1;1;1;1;1;0;1;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;1;1;0;1;1;0;0;1;1
105;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;1;0;1;1;0;1;0;1;0;1;1;1;0;0;1;0;0;0;1;1;0;1;1;0;1;1;1;0;1;1
106;0;1;0;1;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0
107;1;1;1;1;0;0;0;1;1;0;1;1;1;1;0;1;1;0;0;0;1;1;0;1;1;0;1;1;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;1;0;0;1;1
108;1;1;0;0;0;0;1;1;1;0;0;1;1;1;0;1;1;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;1;1
109;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0
114;1;0;1;0;0;0;1;1;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
115;1;1;1;1;1;0;1;0;1;0;0;1;1;1;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;1;0;1;1;0;0;0;1
116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0
117;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;0;1;1;1;1;0;0;0;0;0;1;1;1;0;1;1;0;0;0;1;1;0;0;1;0;1;1;0;0;0;1
118;0;1;0;1;0;0;1;0;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;1;0;0;0;1
119;1;1;1;1;0;0;0;1;1;0;1;0;0;1;0;1;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1
120;1;1;1;1;1;0;1;1;1;0;1;1;1;1;0;1;1;0;0;0;1;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;1;1;0;1;1;1;0;1;0;0;1;1
121;0;1;1;0;0;0;1;1;0;0;1;1;1;1;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;0;1;0;1;0;0;1;0
122;1;1;1;0;0;0;0;0;1;0;1;1;1;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;1;1;0;0;0;0;0;1
129;1;1;1;0;1;0;1;1;0;0;1;1;1;1;0;0;1;0;1;0;1;1;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;1;0;1;1;0;0;1;1
133;1;1;0;0;0;0;1;0;1;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
134;1;1;1;0;0;0;0;1;1;0;1;1;1;1;0;0;1;0;0;1;0;1;1;0;1;0;1;0;0;0;1;0;1;0;0;0;1;1;0;0;1;0;0;1;1;0;0;0
135;1;0;0;1;0;0;1;1;1;0;1;1;1;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;1;0;1;0
147;1;1;1;0;1;0;0;1;1;0;1;1;1;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;1;1;0;1;1
148;1;1;0;0;0;0;1;1;1;0;1;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
149;1;1;0;1;0;0;0;1;1;0;1;1;1;1;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;1;0;1;1;0;1;1
161;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;1;0;0;1;1;1;1;1;0;0;1;0;1;0;0;0;1;0;0;0;0;1;1;0;1;1;0;1;1;0;1;1
162;0;1;0;0;0;0;1;1;1;0;1;1;1;1;0;0;1;0;0;1;1;1;1;0;0;0;0;1;0;1;0;0;1;1;0;0;1;1;0;0;1;0;0;1;0;0;1;1
163;0;1;0;0;0;0;0;1;1;0;1;0;1;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1
